Scenario,Baseline,MLU (Mean),Avg Util (%),Jain's,Delay (ms),Loss Rate,Throughput (%),Latency (ms)
T1,B1,0.557,21.76,0.777,9.3,0.0,100.0,0.0
T1,B2,0.932,36.39,0.765,20.9,0.115,88.5,0.02
T1,Proposed,0.686,33.76,0.828,12.9,0.0,100.0,1.97
T2,B1,0.727,28.5,0.777,9.3,0.0,100.0,0.0
T2,B2,1.03,37.41,0.747,23.3,0.1522,84.78,0.01
T2,Proposed,0.846,34.95,0.789,17.5,0.0832,91.68,1.8
T3,B1,0.764,29.01,0.765,10.8,0.027,97.3,0.0
T3,B2,1.136,46.05,0.767,33.4,0.2896,71.04,0.01
T3,Proposed,0.885,42.64,0.825,18.7,0.0966,90.34,2.06
T4,B1,0.915,35.86,0.777,18.9,0.1921,80.79,0.0
T4,B2,0.971,37.25,0.755,23.2,0.1359,86.41,0.02
T4,Proposed,0.772,35.1,0.807,16.9,0.0478,95.22,2.07
T5,B1,0.787,30.5,0.757,11.2,0.025,97.5,0.0
T5,B2,0.902,37.17,0.765,19.1,0.0872,91.28,0.02
T5,Proposed,0.684,34.77,0.816,12.5,0.0,100.0,1.95
